分類,子分類,問題/描述,初始對話
硬體配置,處理器(CPU),CPU 效能怎麼樣？能滿足我的需求嗎？,
硬體配置,處理器(CPU),i5 還是 i7 更好？,
硬體配置,處理器(CPU),哪一代的 CPU 比較新？,
硬體配置,記憶體(RAM),需要多大的記憶體？8GB 還是 16GB？,
硬體配置,記憶體(RAM),記憶體對我的工作/遊戲影響大嗎？,
硬體配置,儲存(硬碟/SSD),固態硬碟(SSD) 和機械硬碟(HDD) 哪個好？容量多大合適？,
硬體配置,儲存(硬碟/SSD),SSD 速度快，但容量小，怎麼選擇？,
硬體配置,顯示卡(GPU),獨立顯示卡和內顯有什麼區別？我需要獨顯嗎？,
硬體配置,顯示卡(GPU),遊戲筆電的顯示卡型號有哪些？,
硬體配置,螢幕,螢幕尺寸多大合適？13 吋、14 吋還是 15 吋？,
硬體配置,螢幕,螢幕解析度多少比較好？1080p 還是 4K？,
硬體配置,螢幕,螢幕更新率多少比較好？60Hz 還是 144Hz？,
硬體配置,螢幕,螢幕的色彩表現怎麼樣？,
硬體配置,介面,介面夠用嗎？需要 USB-C 嗎？,
硬體配置,介面,有沒有 HDMI 介面？,
硬體配置,電池續航,電池續航時間有多長？能滿足我的使用需求嗎？,
軟體和系統,作業系統,Windows、macOS、Linux 哪個更適合我？,
軟體和系統,軟體相容性,常用的軟體在這台筆電上能正常運行嗎？,
價格和品牌,預算,我的預算是多少？在這個價位能買到什麼配置的筆電？,
價格和品牌,品牌,哪個品牌的筆電品質好？售後服務怎麼樣？,
價格和品牌,品牌,有沒有推薦的筆電品牌？,
應用場景,工作,適合辦公的筆電有哪些推薦？,
應用場景,工作,寫程式用什麼筆電好？,
應用場景,學習,適合學生用的筆電有哪些推薦？,
應用場景,遊戲,遊戲筆電有哪些推薦？,
應用場景,遊戲,玩大型遊戲需要什麼配置的筆電？,
應用場景,影音娛樂,看影片、聽音樂用什麼筆電好？,
其它,散熱,散熱效果怎麼樣？會不會過熱？,
其它,便攜性,筆電重量和體積怎麼樣？方便攜帶嗎？,
其它,鍵盤和觸控板,鍵盤手感怎麼樣？觸控板好用嗎？,
其它,售後服務,售後服務怎麼樣？保固多久？,
硬體配置,處理器(CPU),多核心處理器有什麼好處？,
硬體配置,處理器(CPU),筆電 CPU 能否超頻？,
硬體配置,記憶體(RAM),是否要雙通道記憶體？,
硬體配置,記憶體(RAM),需不需要購買可擴充記憶體的機型？,
硬體配置,儲存(硬碟/SSD),SSD 是 NVMe 還是 SATA？差別在哪？,
硬體配置,儲存(硬碟/SSD),能否同時安裝兩顆硬碟？,
硬體配置,顯示卡(GPU),顯示卡的顯存容量需要多少才夠？,
硬體配置,顯示卡(GPU),顯示卡是否支援專業軟體如 CAD 或 AI 訓練？,
硬體配置,螢幕,是否支援觸控功能？,
硬體配置,螢幕,螢幕亮度與戶外使用體驗如何？,
硬體配置,螢幕,有沒有防眩光設計？,
硬體配置,螢幕,面板類型是 IPS、OLED 還是 TN？,
硬體配置,介面,有沒有 SD 卡槽？,
硬體配置,介面,Thunderbolt 支援情況如何？,
硬體配置,介面,USB 埠數量夠嗎？,
硬體配置,電池續航,快充技術支援情況如何？,
硬體配置,電池續航,能否更換電池？,
硬體配置,電池續航,長時間不用電池會壞嗎？,
軟體和系統,作業系統,筆電能否安裝雙系統？,
軟體和系統,作業系統,系統恢復或重灌是否方便？,
軟體和系統,軟體相容性,有沒有預裝常用軟體？,
軟體和系統,軟體相容性,是否支援虛擬機或模擬器？,
軟體和系統,軟體相容性,軟體授權是否隨機附送？,
價格和品牌,預算,學生預算和辦公預算有什麼差別？,
價格和品牌,預算,是否有教育優惠或促銷活動？,
價格和品牌,品牌,是否有主打輕薄或高效能的產品線？,
價格和品牌,品牌,品牌在本地維修網點多嗎？,
價格和品牌,品牌,能否自由選配硬體？,
應用場景,工作,適合圖形設計或影音編輯的筆電推薦？,
應用場景,工作,適合多視窗同時辦公的機型？,
應用場景,學習,有沒有適合遠端教學的筆電（含攝影機/麥克風）？,
應用場景,學習,新生入學推薦購買哪種類型號？,
應用場景,遊戲,是否支援最新 3A 遊戲大作的效能？,
應用場景,遊戲,遊戲筆電的散熱或鍵盤設計有特色嗎？,
應用場景,影音娛樂,筆電揚聲器音質怎麼樣？,
應用場景,影音娛樂,是否支援高解析音訊與 4K 播放？,
其它,散熱,散熱結構和風扇噪音如何？,
其它,散熱,長時間高負載運行時是否容易降頻？,
其它,便攜性,機身厚度與旅行攜帶方便性？,
其它,便攜性,電源變壓器是否輕便？,
其它,鍵盤和觸控板,是否支援背光鍵盤？,
其它,鍵盤和觸控板,觸控板是否支援多手勢操作？,
其它,售後服務,有沒有到府維修服務？,
其它,售後服務,原廠與經銷商保固有什麼差別？,
